tanggal,komoditi,satuan,harga
2020-07-01,Beras Medium,Kg,10800
2020-07-02,Beras Medium,Kg,11000
2020-07-03,Beras Medium,Kg,11000
2020-07-06,Beras Medium,Kg,10600
2020-07-07,Beras Medium,Kg,10600
2020-07-08,Beras Medium,Kg,10800
2020-07-09,Beras Medium,Kg,10800
2020-07-10,Beras Medium,Kg,10600
2020-07-13,Beras Medium,Kg,10700
2020-07-14,Beras Medium,Kg,10600
2020-07-15,Beras Medium,Kg,10600
2020-07-16,Beras Medium,Kg,10300
2020-07-17,Beras Medium,Kg,10600
2020-07-20,Beras Medium,Kg,11100
2020-07-21,Beras Medium,Kg,10400
2020-07-22,Beras Medium,Kg,10500
2020-07-23,Beras Medium,Kg,10700
2020-07-24,Beras Medium,Kg,10400
2020-07-27,Beras Medium,Kg,10300
2020-07-28,Beras Medium,Kg,10300
2020-07-29,Beras Medium,Kg,10000
2020-07-30,Beras Medium,Kg,10300
2020-07-01,Beras Premium,Kg,13300
2020-07-02,Beras Premium,Kg,13500
2020-07-03,Beras Premium,Kg,13500
2020-07-06,Beras Premium,Kg,13100
2020-07-07,Beras Premium,Kg,13100
2020-07-08,Beras Premium,Kg,13300
2020-07-09,Beras Premium,Kg,13600
2020-07-10,Beras Premium,Kg,13300
2020-07-13,Beras Premium,Kg,12900
2020-07-14,Beras Premium,Kg,12900
2020-07-15,Beras Premium,Kg,13100
2020-07-16,Beras Premium,Kg,12700
2020-07-17,Beras Premium,Kg,12900
2020-07-20,Beras Premium,Kg,13100
2020-07-21,Beras Premium,Kg,12800
2020-07-22,Beras Premium,Kg,13200
2020-07-23,Beras Premium,Kg,13100
2020-07-24,Beras Premium,Kg,12700
2020-07-27,Beras Premium,Kg,13000
2020-07-28,Beras Premium,Kg,12600
2020-07-29,Beras Premium,Kg,12800
2020-07-30,Beras Premium,Kg,13000
2020-07-01,Gula Pasir,Kg,15800
2020-07-02,Gula Pasir,Kg,15600
2020-07-03,Gula Pasir,Kg,15800
2020-07-06,Gula Pasir,Kg,15800
2020-07-07,Gula Pasir,Kg,15600
2020-07-08,Gula Pasir,Kg,15400
2020-07-09,Gula Pasir,Kg,15700
2020-07-10,Gula Pasir,Kg,15600
2020-07-13,Gula Pasir,Kg,15400
2020-07-14,Gula Pasir,Kg,15000
2020-07-15,Gula Pasir,Kg,15000
2020-07-16,Gula Pasir,Kg,15400
